budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2016-17,Ministry of Food Processing Industries,Ministry of Food Processing Industries,148,2015,160,2016,162,2017,4.62,6.36,1.02,5.10,7.31,0.75,6.85,7.85,1.17
2016-17,Ministry of Health and Family Welfare,Department of Health and Family Welfare,23111,2015,25039,2016,25088,2017,650.32,975.48,14.69,749.74,1124.60,25.65,868.50,1302.75,30.94
2016-17,Ministry of Health and Family Welfare,Department of Health Research,15,2015,16,2016,129,2017,0.00,0.00,0.00,0.10,0.01,0.19,0.20,0.00,0.20
2016-17,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,187,2015,287,2016,288,2017,4.89,8.45,1.03,5.40,8.76,1.45,7.00,9.43,1.50
2016-17,Ministry of Heavy Industries and Public Enterprises,Department of Public Enterprises,72,2015,122,2016,122,2017,2.92,3.09,0.41,3.01,3.19,0.29,3.43,3.65,0.34
2016-17,Ministry of Home Affairs,Ministry of Home Affairs,16371,2015,22231,2016,22006,2017,354.19,432.90,24.22,380.22,464.70,32.56,434.34,530.87,30.96
2016-17,Ministry of Home Affairs,Cabinet,900,2015,1201,2016,1201,2017,32.18,39.33,87.53,37.03,45.26,130.51,42.00,51.33,67.88
2016-17,Ministry of Home Affairs,Police,1028077,2015,1062058,2016,1075341,2017,16918.91,20678.68,897.70,18571.81,22698.89,1078.77,21472.59,26244.27,1243.02
2016-17,Ministry of Housing and Urban Poverty Alleviation,Ministry of Housing and Urban Poverty Alleviation,154,2015,159,2016,159,2017,3.29,5.61,0.79,3.77,6.26,2.13,4.40,5.56,4.16
2016-17,Ministry of Human Resource Development,Department of School Education and Literacy,321,2015,400,2016,400,2017,12.43,2.19,0.91,12.38,1.60,0.77,15.06,2.37,0.92
2016-17,Ministry of Human Resource Development,Department of Higher Education,906,2015,1252,2016,1251,2017,55.40,11.27,2.04,51.65,49.96,5.43,51.80,63.72,6.44
2016-17,Ministry of Information and Broadcasting,Ministry of Information and Broadcasting,4141,2015,6322,2016,6322,2017,115.11,110.6,8.02,168.3,135.17,8.9,214.74,137.29,10.59
2016-17,Ministry of Labour and Employment,Ministry of Labour and Employment,6599,2015,6608,2016,6613,2017,377.30,5.57,15.34,402.16,5.37,14.70,475.00,6.13,16.87
2016-17,Ministry of Law and Justice,Election Commission,618,2015,618,2016,618,2017,10.07,14.07,2.15,12.21,14.70,1.70,12.47,16.53,1.90
2016-17,Ministry of Law and Justice,Law and Justice,1784,2015,2063,2016,2049,2017,31.42,73.08,2.57,37.82,77.18,5.28,42.80,87.34,5.68
2016-17,Ministry of Law and Justice,Supreme Court of India,2385,2015,2385,2016,2385,2017,61.10,61.52,1.06,65.33,68.88,1.50,65.33,90.24,1.50
2016-17,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",1750,2015,2654,2016,2654,2017,47.46,63.34,2.37,47.94,73.73,3.03,43.14,83.81,4.03
2016-17,Ministry of Mines,Ministry of Mines,8503,2015,9733,2016,12902,2017,209.75,294.03,1.80,193.55,314.21,1.81,245.07,314.95,2.61
2016-17,Ministry of Minority Affairs,Ministry of Minority Affairs,193,2015,264,2016,264,2017,4.97,6.98,0.84,4.55,8.18,0.77,5.06,9.36,1.15
2016-17,Ministry of New and Renewable Energy,Ministry of New and Renewable Energy,201,2015,304,2016,304,2017,11.15,8.07,2.13,10.60,7.67,1.99,11.97,8.67,2.93
2016-17,Ministry of Panchayati Raj,Ministry of Panchayati Raj,127,2015,125,2016,125,2017,6.23,10.98,3.70,8.55,11.83,1.02,6.50,11.23,0.60
2016-17,"Ministry of Personnel, Public Grievances and Pensions","Ministry of Personnel, Public Grievances and Pensions",8568,2015,10364,2016,10364,2017,228.28,297.13,21.77,258.06,329.83,21.37,275.87,406.03,43.58
2016-17,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas,237,2015,268,2016,305,2017,7.95,10.18,1.27,8.41,11.27,1.35,9.89,12.75,1.56
2016-17,Ministry of Planning,Ministry of Planning,1093,2015,1185,2016,1185,2017,53.82,35.88,7.22,56.27,37.52,10.48,69.10,7.68,12.09
2016-17,Ministry of Power,Ministry of Power,1183,2015,1938,2016,1938,2017,38.92,47.74,3.45,40.25,51.45,5.00,43.37,62.54,4.71
